name,social_security_number,gender,height,age,blood_type,company,grades,salary,expenditure,car_type
hkd140,890419-1,M,186.4,32.0,A,B,A,3680.0,2305,gasoline
hkd141,880509-1,M,180.9,33.0,B,B,C,3860.0,2735,gasoline
hkd142,870618-1,M,181.3,34.0,AB,B,A,4580.0,3205,diesel
hkd143,860630-1,M,181.6,35.0,O,B,A,4000.0,2625,gasoline
hkd144,850914-2,F,163.5,36.0,A,B,A,4920.0,3545,diesel
hkd145,841217-2,F,152.9,37.0,O,B,B,4450.0,3325,diesel
hkd146,830908-2,F,161.6,38.0,A,B,B,5110.0,3985,diesel
hkd147,821204-2,F,165.2,39.0,O,B,A,5390.0,4015,electronic
hkd148,811021-2,F,160.0,40.0,B,B,A,5440.0,4065,gasoline
hkd149,801116-1,M,173.3,41.0,A,B,C,5920.0,4795,diesel
hkd15,850215-2,F,151.2,36.0,O,A,B,5550.0,3800,diesel
hkd150,791219-1,M,182.7,42.0,B,B,A,6420.0,5045,diesel
hkd151,781212-1,M,175.8,,,B,A,,4755,gasoline
hkd152,770202-1,M,176.8,,,B,A,,4945,gasoline
hkd153,760301-2,F,149.2,45.0,A,B,A,5840.0,4465,gasoline
hkd154,750920-1,M,185.7,46.0,O,B,F,6310.0,5810,diesel
hkd155,740515-1,M,171.0,47.0,A,B,C,7330.0,6205,diesel
hkd156,730116-2,F,153.2,48.0,O,B,B,6440.0,5315,gasoline
hkd157,721211-2,F,162.3,49.0,B,B,B,6200.0,5075,diesel
hkd158,910213-1,M,186.7,30.0,A,B,B,3980.0,2855,gasoline
hkd159,900303-1,M,170.1,31.0,B,B,B,3330.0,2205,diesel
hkd16,840717-1,M,187.2,37.0,A,A,B,5440.0,3690,diesel
hkd160,890419-1,M,166.1,32.0,AB,B,B,3600.0,2475,gasoline
hkd161,880509-2,F,150.9,33.0,O,B,A,3820.0,2445,gasoline
hkd162,870618-2,F,164.4,34.0,A,B,F,4770.0,4270,gasoline
hkd163,860117-1,M,166.2,35.0,O,B,C,4960.0,3835,electronic
hkd164,850115-1,M,185.6,36.0,A,B,B,4850.0,3725,diesel
hkd165,841017-1,M,180.1,37.0,O,B,B,4390.0,3265,diesel
hkd166,830708-2,F,162.6,38.0,B,B,B,5010.0,3885,diesel
hkd167,820904-1,M,166.7,39.0,A,B,B,5480.0,4355,diesel
hkd168,811021-1,M,187.1,40.0,B,B,C,6010.0,4885,gasoline
hkd169,801116-2,F,155.4,41.0,AB,B,B,5830.0,4705,gasoline
hkd17,830108-2,F,154.0,38.0,O,A,C,4720.0,3970,gasoline
hkd170,791218-1,M,181.4,42.0,O,B,B,6300.0,5175,diesel
hkd171,780112-1,M,168.7,43.0,A,B,B,6110.0,4985,diesel
hkd172,770203-1,M,170.3,44.0,O,B,B,6730.0,5355,gasoline
hkd173,760325-1,M,177.0,45.0,A,B,B,6660.0,5285,gasoline
hkd174,750420-1,M,166.5,46.0,O,B,D,7250.0,6500,gasoline
hkd175,740515-2,F,151.3,47.0,B,B,B,6750.0,5375,gasoline
hkd176,730716-2,F,163.5,48.0,A,B,B,5420.0,4045,gasoline
hkd177,721212-2,F,149.2,49.0,B,B,A,6170.0,4795,gasoline
hkd178,860917-1,M,179.3,35.0,AB,B,A,4800.0,3425,diesel
hkd179,850114-1,M,166.8,36.0,O,B,B,5160.0,3785,diesel
hkd18,820930-1,M,186.7,39.0,B,A,C,5770.0,5020,electronic
hkd180,840117-1,M,185.7,37.0,A,B,B,6130.0,4755,diesel
hkd181,830808-2,F,149.2,38.0,O,B,A,5010.0,3635,diesel
hkd182,820404-1,M,178.5,39.0,A,B,B,5380.0,4005,electronic
hkd183,811011-2,F,152.0,40.0,O,B,A,5410.0,4035,gasoline
hkd184,800816-2,F,163.2,41.0,B,B,C,5790.0,4665,diesel
hkd185,791215-1,M,166.2,42.0,A,B,C,6300.0,5175,gasoline
hkd186,780112-2,F,155.7,43.0,B,B,B,6620.0,5245,gasoline
hkd187,771201-2,F,158.8,44.0,AB,B,A,5510.0,4135,gasoline
hkd188,860617-2,F,164.1,35.0,O,B,B,4710.0,3335,gasoline
hkd189,850114-2,F,156.8,36.0,A,B,A,4770.0,3395,electronic
hkd19,811018-1,M,187.9,40.0,A,A,A,6090.0,3965,diesel
hkd190,840817-2,F,168.4,37.0,O,B,B,4800.0,3425,electronic
hkd191,830808-1,M,177.4,38.0,A,B,A,5260.0,3885,diesel
hkd192,821007-2,F,170.0,39.0,O,B,B,5300.0,3925,diesel
hkd193,811021-1,M,165.3,40.0,B,B,A,5730.0,4355,gasoline
hkd194,800116-1,M,189.7,41.0,A,B,F,5760.0,5260,diesel
hkd195,791215-2,F,158.1,42.0,B,B,A,6280.0,4905,diesel
hkd196,781012-1,M,184.2,43.0,AB,B,C,6420.0,5295,gasoline
hkd197,770201-2,F,152.7,44.0,O,B,B,6060.0,4685,electronic
hkd198,830108-1,M,188.1,38.0,A,B,B,4500.0,3125,diesel
hkd199,820104-2,F,167.2,,,B,A,,3785,diesel
hkd2,980117-2,F,151.6,23.0,B,A,B,4120.0,2745,
hkd20,801219-1,M,191.4,41.0,B,A,C,6210.0,5460,electronic
hkd200,811029-1,M,187.1,40.0,A,B,B,5750.0,4375,electronic
hkd201,880511-1,M,189.8,33.0,O,C,B,10390.0,8640,electronic
hkd202,870620-2,F,149.1,34.0,A,C,D,7680.0,6930,diesel
hkd203,860619-1,M,165.7,35.0,B,C,C,8750.0,7625,diesel
hkd204,850116-2,F,148.4,36.0,AB,C,A,9170.0,7045,electronic
hkd205,990624-2,F,160.3,22.0,A,C,A,5040.0,2915,
hkd206,980718-1,M,165.5,23.0,B,C,B,5710.0,3960,gasoline
hkd207,970819-2,F,160.6,24.0,AB,C,A,5280.0,3155,
hkd208,960910-2,F,165.8,25.0,O,C,B,5710.0,3960,
hkd209,951016-2,F,167.8,26.0,A,C,B,5740.0,3990,
hkd21,791215-1,M,170.4,42.0,AB,A,B,6610.0,4860,electronic
hkd210,941106-2,F,164.3,27.0,O,C,B,5950.0,4200,gasoline
hkd211,931227-1,M,175.5,28.0,A,C,C,6380.0,5630,gasoline
hkd212,920124-2,F,158.3,29.0,O,C,C,6520.0,5770,
hkd213,910216-2,F,158.3,30.0,B,C,C,7520.0,6770,diesel
hkd214,900305-1,M,179.0,31.0,A,C,A,6930.0,4805,gasoline
hkd215,890421-2,F,148.8,32.0,B,C,B,8360.0,6610,electronic
hkd216,880512-1,M,183.4,33.0,AB,C,B,8530.0,6780,diesel
hkd217,870621-1,M,186.8,34.0,O,C,A,7670.0,5545,electronic
hkd218,860620-1,M,172.5,35.0,A,C,B,8570.0,6820,electronic
hkd219,850117-2,F,150.0,36.0,O,C,B,9030.0,7280,diesel
hkd22,780912-1,M,183.4,43.0,O,A,A,6610.0,4485,gasoline
hkd220,840719-1,M,187.3,37.0,A,C,B,11180.0,9430,electronic
hkd221,830811-1,M,191.0,38.0,O,C,A,9800.0,7675,gasoline
hkd222,820907-2,F,154.4,39.0,B,C,D,9830.0,9080,diesel
hkd223,990625-1,M,169.3,22.0,A,C,B,4970.0,3220,gasoline
hkd224,980719-2,F,153.4,23.0,B,C,A,5190.0,3065,
hkd225,970820-1,M,168.4,24.0,AB,C,B,5210.0,3460,
hkd226,960911-1,M,172.4,25.0,O,C,B,5550.0,4425,gasoline
hkd227,951017-1,M,165.2,26.0,A,C,A,5710.0,3585,gasoline
hkd228,941107-1,M,177.2,27.0,O,C,A,5810.0,3685,diesel
hkd229,931228-1,M,177.6,28.0,A,C,D,6070.0,5320,diesel
hkd23,770209-1,M,182.5,44.0,A,A,A,7120.0,4995,gasoline
hkd230,920125-1,M,176.7,29.0,O,C,A,6430.0,4305,electronic
hkd231,910217-2,F,159.6,30.0,B,C,B,7430.0,6305,gasoline
hkd232,900306-2,F,159.7,31.0,A,C,B,6900.0,5775,gasoline
hkd233,890422-1,M,173.5,32.0,B,C,B,7320.0,6195,diesel
hkd234,880513-2,F,150.7,33.0,AB,C,B,8450.0,7325,electronic
hkd235,870622-2,F,153.5,34.0,O,C,A,10800.0,8675,diesel
hkd236,860621-1,M,166.2,35.0,A,C,B,10410.0,9285,electronic
hkd237,850118-2,F,160.7,36.0,O,C,B,10480.0,9355,electronic
hkd238,840720-2,F,156.8,37.0,A,C,B,9380.0,8255,gasoline
hkd239,830812-2,F,163.5,38.0,O,C,A,9430.0,7305,electronic
hkd24,760321-1,M,177.1,45.0,O,A,B,7300.0,5550,gasoline
hkd240,820908-2,F,155.6,39.0,B,C,A,11440.0,9315,diesel
hkd241,811025-1,M,184.6,40.0,A,C,B,11120.0,9995,electronic
hkd242,801120-1,M,180.9,41.0,B,C,A,11720.0,9595,gasoline
hkd243,791219-1,M,184.5,42.0,AB,C,A,11080.0,8955,diesel
hkd244,780116-2,F,151.4,43.0,O,C,C,11810.0,10685,electronic
hkd245,770205-2,F,165.0,44.0,A,C,B,11990.0,10865,gasoline
hkd246,760329-1,M,167.8,45.0,O,C,B,10530.0,9405,diesel
hkd247,000526-3,M,189.4,20.0,A,C,B,5540.0,4165,
hkd248,910218-2,F,168.2,30.0,O,C,C,6580.0,5455,gasoline
hkd249,960912-2,F,148.5,25.0,B,C,B,5540.0,4165,gasoline
hkd25,750420-2,F,149.5,46.0,A,A,B,6770.0,5020,gasoline
hkd250,860622-1,M,177.3,35.0,O,C,C,8050.0,6925,electronic
hkd26,740515-2,F,154.6,47.0,O,A,B,6480.0,4730,gasoline
hkd27,730716-1,M,171.7,,,A,B,,6770,gasoline
hkd28,720111-2,F,159.2,49.0,A,A,A,6680.0,5305,diesel
hkd29,730706-2,F,148.1,50.0,B,A,A,5800.0,4425,gasoline
hkd3,970818-2,F,154.8,24.0,AB,A,B,4420.0,3045,
hkd30,720801-1,M,179.1,51.0,AB,A,B,7950.0,6200,gasoline
hkd31,710925-1,M,173.0,52.0,O,A,B,8720.0,6970,gasoline
hkd32,701020-1,M,176.6,53.0,A,A,C,8220.0,7470,gasoline
hkd33,691111-2,F,166.8,54.0,O,A,A,7520.0,5395,diesel
hkd34,681201-1,M,179.6,55.0,A,A,C,9430.0,8680,gasoline
hkd35,910214-1,M,167.4,30.0,O,A,B,4580.0,2830,gasoline
hkd36,900304-2,F,149.5,31.0,B,A,A,4670.0,2545,
hkd37,890420-1,M,180.3,32.0,A,A,A,4760.0,2635,gasoline
hkd38,880510-2,F,167.5,33.0,B,A,D,4610.0,3860,electronic
hkd39,870619-1,M,186.8,34.0,AB,A,B,5100.0,3350,
hkd4,960809-1,M,177.6,25.0,O,A,B,4450.0,3075,gasoline
hkd40,860618-1,M,177.9,35.0,O,A,A,5000.0,2875,gasoline
hkd41,850115-2,F,152.7,36.0,A,A,C,4970.0,4220,electronic
hkd42,840718-1,M,191.5,37.0,O,A,B,5620.0,3870,diesel
hkd43,830809-1,M,175.1,,,A,C,,4335,
hkd44,820905-1,M,168.1,39.0,O,A,B,5650.0,3900,gasoline
hkd45,811022-1,M,182.1,40.0,B,A,C,5800.0,4675,diesel
hkd46,801117-1,M,186.1,41.0,A,A,D,6200.0,5450,electronic
hkd47,791216-1,M,189.3,42.0,B,A,D,6190.0,5440,gasoline
hkd48,780113-1,M,184.0,,,A,C,,5405,diesel
hkd49,770202-2,F,162.6,,,A,A,,2995,
hkd5,950115-1,M,166.7,26.0,A,A,B,4550.0,3175,
hkd50,760326-2,F,169.9,45.0,A,A,B,6020.0,4270,gasoline
hkd51,750421-1,M,183.5,46.0,O,A,C,7530.0,6405,diesel
hkd52,740516-2,F,152.5,47.0,A,A,B,7540.0,6415,gasoline
hkd53,730717-1,M,187.2,48.0,O,A,B,7630.0,6505,diesel
hkd54,720612-2,F,158.3,49.0,B,A,B,7200.0,6075,gasoline
hkd55,730707-2,F,161.0,50.0,A,A,D,6860.0,6110,gasoline
hkd56,720802-2,F,156.5,51.0,B,A,B,8040.0,6915,gasoline
hkd57,710926-2,F,153.6,52.0,AB,A,B,7230.0,6105,gasoline
hkd58,701021-1,M,188.0,53.0,O,A,B,8000.0,6875,diesel
hkd59,691112-1,M,174.2,54.0,A,A,B,8100.0,6975,diesel
hkd6,941105-2,F,156.3,27.0,O,A,F,4160.0,3785,
hkd60,681202-1,M,186.0,55.0,O,A,B,9440.0,8315,gasoline
hkd61,811023-2,F,170.5,40.0,A,A,B,4750.0,3625,gasoline
hkd62,801118-1,M,191.8,41.0,O,A,B,6190.0,5065,electronic
hkd63,791217-2,F,165.2,42.0,B,A,B,4620.0,3495,gasoline
hkd64,780114-1,M,165.1,43.0,A,A,A,6370.0,4995,diesel
hkd65,770203-2,F,159.0,44.0,B,A,A,5590.0,4215,gasoline
hkd66,760327-2,F,157.8,45.0,AB,A,A,5640.0,4265,gasoline
hkd67,750422-1,M,175.3,46.0,O,A,B,7150.0,6025,diesel
hkd68,740517-1,M,176.2,47.0,A,A,A,8850.0,6725,gasoline
hkd69,730718-1,M,175.5,48.0,O,A,B,7590.0,6465,diesel
hkd7,931225-1,M,189.4,28.0,A,A,A,4630.0,2505,
hkd70,720613-2,F,156.1,49.0,A,A,C,6830.0,5705,gasoline
hkd71,730708-1,M,173.7,50.0,O,A,C,7800.0,6675,diesel
hkd72,720803-1,M,183.2,51.0,B,A,A,8860.0,6735,gasoline
hkd73,710927-1,M,165.1,52.0,A,A,A,9300.0,7175,gasoline
hkd74,701022-2,F,155.5,53.0,B,A,B,8260.0,7135,diesel
hkd75,691113-1,M,178.5,54.0,AB,A,A,8730.0,6605,gasoline
hkd76,681203-1,M,173.6,55.0,O,A,B,9120.0,7995,electronic
hkd77,730709-1,M,181.3,50.0,A,A,A,8870.0,6745,diesel
hkd78,720804-1,M,181.8,51.0,O,A,D,7830.0,7080,gasoline
hkd79,710928-2,F,168.9,52.0,A,A,D,8110.0,7360,diesel
hkd8,920122-1,M,180.0,29.0,O,A,D,4570.0,3820,electronic
hkd80,701023-1,M,191.2,53.0,O,A,A,8800.0,6675,diesel
hkd81,691114-2,F,156.0,54.0,B,A,D,7650.0,6900,gasoline
hkd82,681204-1,M,174.0,55.0,A,A,B,9310.0,7935,diesel
hkd83,830810-1,M,183.7,38.0,B,A,A,5450.0,3325,diesel
hkd84,820906-1,M,167.2,39.0,AB,A,F,5270.0,4770,diesel
hkd85,811024-2,F,165.0,40.0,O,A,A,4740.0,3365,diesel
hkd86,801119-2,F,151.3,41.0,A,A,A,5650.0,3525,electronic
hkd87,791218-2,F,164.4,42.0,O,A,B,4600.0,3225,diesel
hkd88,780115-2,F,150.6,43.0,A,A,B,5640.0,4265,gasoline
hkd89,770204-1,M,184.3,,,A,B,,4865,gasoline
hkd9,910913-1,M,168.3,,,A,B,,3200,gasoline
hkd90,760328-1,M,172.4,45.0,B,A,A,7210.0,5835,gasoline
hkd91,750423-1,M,170.7,46.0,A,A,F,6920.0,6420,diesel
hkd92,740518-2,F,170.8,47.0,B,A,B,6610.0,5235,gasoline
hkd93,730719-1,M,180.4,48.0,AB,A,B,7560.0,6185,diesel
hkd94,720614-1,M,174.1,49.0,O,A,B,8540.0,7165,diesel
hkd95,730710-2,F,157.8,50.0,A,A,A,6990.0,4865,diesel
hkd96,720805-2,F,150.4,51.0,O,A,A,7110.0,4985,gasoline
hkd97,710929-1,M,172.4,52.0,A,A,B,8000.0,6625,diesel
hkd98,701024-1,M,166.7,,,A,B,,7385,gasoline
hkd99,691115-2,F,152.6,54.0,B,A,B,7470.0,6095,gasoline
